3	22-47
7	41-47
29	469-9
38	80-42
46	118-50
47	130-9
48	142-19
49	146-49
61	203-15
92	387-16
95	398-14
100	414-20
108	486-17
112	496-34
115	524-31
117	534-26
118	535-20
130	33722
132	37900
169	48643
176	48983
177	49036
180	49300
185	50193
192	50952
193	51090
200	52575
207	54590
211	1925
213	3002
215	3911
217	5835
220	7665
233	13284
234	14240
245	32023
246	32093
258	35742
266	37462
280	42216
284	43436
288	44628
291	45738
292	45944
300	50486
309	51680
313	52305
315	52541
318	53161
323	54085
328	54667
329	54717
332	55060
334	55427
336	55965
340	56378
359	43213
361	44017
372	55977
375	56786
376	56915
377	56953
384	57989
387	58499
399	59884
